assessmentId,internalTaxonId,scientificName,code,name,note
3466788,132863,Acropora prostrata,3.2,Species recovery,
3466788,132863,Acropora prostrata,3.4.1,Captive breeding/artificial propagation,
3466788,132863,Acropora prostrata,2.1,Site/area management,
3466788,132863,Acropora prostrata,3.4.2,Genome resource bank,
3466788,132863,Acropora prostrata,2.3,Habitat & natural process restoration,
3466788,132863,Acropora prostrata,1.1,Site/area protection,
3468128,132866,Montipora angulata,3.2,Species recovery,
3468128,132866,Montipora angulata,3.4.1,Captive breeding/artificial propagation,
3468128,132866,Montipora angulata,2.1,Site/area management,
3468128,132866,Montipora angulata,3.4.2,Genome resource bank,
3468128,132866,Montipora angulata,2.3,Habitat & natural process restoration,
3468128,132866,Montipora angulata,1.1,Site/area protection,
3490569,132913,Acropora rudis,3.2,Species recovery,
3490569,132913,Acropora rudis,3.4.1,Captive breeding/artificial propagation,
3490569,132913,Acropora rudis,2.1,Site/area management,
3490569,132913,Acropora rudis,3.4.2,Genome resource bank,
3490569,132913,Acropora rudis,2.3,Habitat & natural process restoration,
3490569,132913,Acropora rudis,1.1,Site/area protection,
3499437,132933,Acropora carduus,3.2,Species recovery,
3499437,132933,Acropora carduus,3.4.1,Captive breeding/artificial propagation,
3499437,132933,Acropora carduus,2.1,Site/area management,
3499437,132933,Acropora carduus,3.4.2,Genome resource bank,
3499437,132933,Acropora carduus,2.3,Habitat & natural process restoration,
3499437,132933,Acropora carduus,1.1,Site/area protection,
3503328,132942,Montipora patula,3.2,Species recovery,
3503328,132942,Montipora patula,3.4.1,Captive breeding/artificial propagation,
3503328,132942,Montipora patula,2.1,Site/area management,
3503328,132942,Montipora patula,3.4.2,Genome resource bank,
3503328,132942,Montipora patula,2.3,Habitat & natural process restoration,
3503328,132942,Montipora patula,1.1,Site/area protection,
3503904,132944,Montipora nodosa,3.2,Species recovery,
3503904,132944,Montipora nodosa,3.4.1,Captive breeding/artificial propagation,
3503904,132944,Montipora nodosa,2.1,Site/area management,
3503904,132944,Montipora nodosa,3.4.2,Genome resource bank,
3503904,132944,Montipora nodosa,2.3,Habitat & natural process restoration,
3503904,132944,Montipora nodosa,1.1,Site/area protection,
3516341,132972,Acropora paniculata,3.2,Species recovery,
3516341,132972,Acropora paniculata,3.4.1,Captive breeding/artificial propagation,
3516341,132972,Acropora paniculata,2.1,Site/area management,
3516341,132972,Acropora paniculata,3.4.2,Genome resource bank,
3516341,132972,Acropora paniculata,2.3,Habitat & natural process restoration,
3516341,132972,Acropora paniculata,1.1,Site/area protection,
3520070,132979,Favites complanata,3.2,Species recovery,
3520070,132979,Favites complanata,3.4.1,Captive breeding/artificial propagation,
3520070,132979,Favites complanata,2.1,Site/area management,
3520070,132979,Favites complanata,3.4.2,Genome resource bank,
3520070,132979,Favites complanata,2.3,Habitat & natural process restoration,
3520070,132979,Favites complanata,1.1,Site/area protection,
3524260,132987,Echinopora gemmacea,3.2,Species recovery,
3524260,132987,Echinopora gemmacea,3.4.1,Captive breeding/artificial propagation,
3524260,132987,Echinopora gemmacea,2.1,Site/area management,
3524260,132987,Echinopora gemmacea,3.4.2,Genome resource bank,
3524260,132987,Echinopora gemmacea,2.3,Habitat & natural process restoration,
3524260,132987,Echinopora gemmacea,1.1,Site/area protection,
3524962,132988,Acropora longicyathus,3.2,Species recovery,
3524962,132988,Acropora longicyathus,3.4.1,Captive breeding/artificial propagation,
3524962,132988,Acropora longicyathus,2.1,Site/area management,
