,Country,Species,Proportion
0,"Taiwan, Province of China",152,0.8306010928961749
1,Yemen,111,0.6065573770491803
2,Pakistan,33,0.18032786885245902
3,Oman,52,0.28415300546448086
4,"Iran, Islamic Republic of",41,0.22404371584699453
5,"Tanzania, United Republic of",108,0.5901639344262295
6,Somalia,108,0.5901639344262295
7,Seychelles,121,0.6612021857923497
8,Réunion,119,0.6502732240437158
9,Mozambique,124,0.6775956284153005
10,Mayotte,118,0.644808743169399
11,Mauritius,128,0.6994535519125683
12,Kenya,108,0.5901639344262295
13,Cambodia,127,0.6939890710382514
14,Bangladesh,7,0.03825136612021858
15,Vanuatu,148,0.8087431693989071
16,Tonga,118,0.644808743169399
17,Solomon Islands,162,0.8852459016393442
18,Samoa,153,0.8360655737704918
19,Papua New Guinea,168,0.9180327868852459
20,New Caledonia,152,0.8306010928961749
21,Fiji,167,0.912568306010929
22,Australia,171,0.9344262295081968
23,American Samoa,153,0.8360655737704918
24,United States,7,0.03825136612021858
25,India,135,0.7377049180327869
26,China,38,0.20765027322404372
27,Indonesia,174,0.9508196721311475
28,Malaysia,168,0.9180327868852459
29,Myanmar,135,0.7377049180327869
30,Philippines,168,0.9180327868852459
31,Singapore,162,0.8852459016393442
32,Sri Lanka,115,0.6284153005464481
33,Thailand,167,0.912568306010929
34,Viet Nam,146,0.7978142076502732
35,Comoros,118,0.644808743169399
36,Djibouti,101,0.5519125683060109
37,Madagascar,123,0.6721311475409836
38,Wallis and Futuna,146,0.7978142076502732
39,Palau,157,0.8579234972677595
40,Niue,104,0.5683060109289617
41,Christmas Island,48,0.26229508196721313
42,British Indian Ocean Territory,124,0.6775956284153005
43,Maldives,100,0.546448087431694
44,Tokelau,109,0.5956284153005464
45,Japan,151,0.825136612021858
46,Tuvalu,153,0.8360655737704918
47,Egypt,100,0.546448087431694
48,Northern Mariana Islands,96,0.5245901639344263
49,Marshall Islands,142,0.7759562841530054
50,Timor-Leste,2,0.01092896174863388
51,Nauru,143,0.7814207650273224
52,Brunei Darussalam,3,0.01639344262295082
53,Kiribati,161,0.8797814207650273
54,"Micronesia, Federated States of ",152,0.8306010928961749
55,Guam,96,0.5245901639344263
56,Pitcairn,46,0.25136612021857924
57,French Polynesia,103,0.5628415300546448
58,Cook Islands,100,0.546448087431694
59,Panama,2,0.01092896174863388
60,Colombia,2,0.01092896174863388
61,Costa Rica,1,0.00546448087431694
62,Mexico,3,0.01639344262295082
63,Honduras,1,0.00546448087431694
64,Ecuador,2,0.01092896174863388
65,El Salvador,1,0.00546448087431694
66,Guatemala,1,0.00546448087431694
67,Nicaragua,1,0.00546448087431694
68,Peru,1,0.00546448087431694
69,Cocos (Keeling) Islands,48,0.26229508196721313
70,South Africa,51,0.2786885245901639
71,Israel,97,0.5300546448087432
72,Sudan,99,0.5409836065573771
73,Eritrea,105,0.5737704918032787
74,Saudi Arabia,106,0.5792349726775956
75,Jordan,97,0.5300546448087432
76,United States Minor Outlying Islands,123,0.6721311475409836
77,Chile,27,0.14754098360655737
78,Kuwait,37,0.20218579234972678
79,United Arab Emirates,39,0.21311475409836064
80,Norfolk Island,26,0.14207650273224043
81,Iraq,37,0.20218579234972678
82,Qatar,39,0.21311475409836064
83,Bahrain,39,0.21311475409836064
84,New Zealand,3,0.01639344262295082
85,Canada,1,0.00546448087431694
