assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
3466788,132863,Acropora prostrata,4.5.13,Gulf of Thailand,,Native,Extant,
3466788,132863,Acropora prostrata,4.5.12,South China Sea,,Native,Extant,
3466788,132863,Acropora prostrata,2.2.1,Kuroshio Current,,Native,Extant,
3466788,132863,Acropora prostrata,4.4.2,Northwest Australian Shelf,,Native,Extant,
3466788,132863,Acropora prostrata,4.4.3,Northeast Australian Shelf,,Native,Extant,
3466788,132863,Acropora prostrata,4.4.4,North Australian Shelf,,Native,Extant,
3466788,132863,Acropora prostrata,4.6.1,Bay of Bengal,,Native,Extant,
3466788,132863,Acropora prostrata,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3466788,132863,Acropora prostrata,4.5.4,Indonesian Seas,,Native,Extant,
3468128,132866,Montipora angulata,4.5.4,Indonesian Seas,,Native,Extant,
3468128,132866,Montipora angulata,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3468128,132866,Montipora angulata,4.6.2,Arabian Sea,,Native,Extant,
3468128,132866,Montipora angulata,4.4.5,East-Central Australian Shelf,,Native,Extant,
3468128,132866,Montipora angulata,4.6.1,Bay of Bengal,,Native,Extant,
3468128,132866,Montipora angulata,4.4.4,North Australian Shelf,,Native,Extant,
3468128,132866,Montipora angulata,4.4.3,Northeast Australian Shelf,,Native,Extant,
3468128,132866,Montipora angulata,4.4.2,Northwest Australian Shelf,,Native,Extant,
3468128,132866,Montipora angulata,4.4.1,West-Central Australian Shelf,,Native,Extant,
3468128,132866,Montipora angulata,2.2.1,Kuroshio Current,,Native,Extant,
3468128,132866,Montipora angulata,4.5.11,East China Sea,,Native,Extant,
3468128,132866,Montipora angulata,4.5.12,South China Sea,,Native,Extant,
3468128,132866,Montipora angulata,4.5.13,Gulf of Thailand,,Native,Extant,
3490569,132913,Acropora rudis,4.6.1,Bay of Bengal,,Native,Extant,
3490569,132913,Acropora rudis,4.6.2,Arabian Sea,,Native,Extant,
3499437,132933,Acropora carduus,4.5.12,South China Sea,,Native,Extant,
3499437,132933,Acropora carduus,4.5.11,East China Sea,,Native,Extant,
3499437,132933,Acropora carduus,2.2.1,Kuroshio Current,,Native,Extant,
3499437,132933,Acropora carduus,4.4.2,Northwest Australian Shelf,,Native,Extant,
3499437,132933,Acropora carduus,4.4.3,Northeast Australian Shelf,,Native,Extant,
3499437,132933,Acropora carduus,4.4.4,North Australian Shelf,,Native,Extant,
3499437,132933,Acropora carduus,4.6.1,Bay of Bengal,,Native,Extant,
3499437,132933,Acropora carduus,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3499437,132933,Acropora carduus,4.5.4,Indonesian Seas,,Native,Extant,
3503328,132942,Montipora patula,3.2.1,Insular Pacific Hawaiian,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.13,Gulf of Thailand,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.12,South China Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.11,East China Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.3,Somali Current,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.4,Indonesian Seas,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.2,Arabian Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.5,East-Central Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.1,Bay of Bengal,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.4,North Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.3,Northeast Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.2,Northwest Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.1,West-Central Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,2.2.1,Kuroshio Current,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.4,Agulhas Current,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.5,Red Sea,,Native,Extant,
3516341,132972,Acropora paniculata,4.5.4,Indonesian Seas,,Native,Extant,
3516341,132972,Acropora paniculata,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3516341,132972,Acropora paniculata,4.4.5,East-Central Australian Shelf,,Native,Extant,
3516341,132972,Acropora paniculata,4.6.1,Bay of Bengal,,Native,Extant,
3516341,132972,Acropora paniculata,4.4.4,North Australian Shelf,,Native,Extant,
3516341,132972,Acropora paniculata,4.4.3,Northeast Australian Shelf,,Native,Extant,
3516341,132972,Acropora paniculata,4.4.2,Northwest Australian Shelf,,Native,Extant,
3516341,132972,Acropora paniculata,2.2.1,Kuroshio Current,,Native,Extant,
3516341,132972,Acropora paniculata,3.2.1,Insular Pacific Hawaiian,,Native,Extant,
3516341,132972,Acropora paniculata,4.6.5,Red Sea,,Native,Extant,
3516341,132972,Acropora paniculata,4.5.11,East China Sea,,Native,Extant,
3516341,132972,Acropora paniculata,4.5.12,South China Sea,,Native,Extant,
3516341,132972,Acropora paniculata,4.5.13,Gulf of Thailand,,Native,Extant,
3520070,132979,Favites complanata,4.5.13,Gulf of Thailand,,Native,Extant,
3520070,132979,Favites complanata,4.5.12,South China Sea,,Native,Extant,
3520070,132979,Favites complanata,4.4.7,Southwest Australian Shelf,,Native,Extant,
3520070,132979,Favites complanata,4.5.11,East China Sea,,Native,Extant,
3520070,132979,Favites complanata,4.6.3,Somali Current,,Native,Extant,
3520070,132979,Favites complanata,4.5.4,Indonesian Seas,,Native,Extant,
3520070,132979,Favites complanata,4.6.2,Arabian Sea,,Native,Extant,
3520070,132979,Favites complanata,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3520070,132979,Favites complanata,4.4.5,East-Central Australian Shelf,,Native,Extant,
3520070,132979,Favites complanata,4.6.1,Bay of Bengal,,Native,Extant,
3520070,132979,Favites complanata,4.4.4,North Australian Shelf,,Native,Extant,
3520070,132979,Favites complanata,4.4.3,Northeast Australian Shelf,,Native,Extant,
3520070,132979,Favites complanata,4.4.2,Northwest Australian Shelf,,Native,Extant,
3520070,132979,Favites complanata,4.4.1,West-Central Australian Shelf,,Native,Extant,
3520070,132979,Favites complanata,2.2.1,Kuroshio Current,,Native,Extant,
3520070,132979,Favites complanata,4.6.4,Agulhas Current,,Native,Extant,
3520070,132979,Favites complanata,4.6.5,Red Sea,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.5.13,Gulf of Thailand,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.5.12,South China Sea,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.5.11,East China Sea,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.6.3,Somali Current,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.5.4,Indonesian Seas,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.6.2,Arabian Sea,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.4.5,East-Central Australian Shelf,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.6.1,Bay of Bengal,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.4.4,North Australian Shelf,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.4.3,Northeast Australian Shelf,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.4.2,Northwest Australian Shelf,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.4.1,West-Central Australian Shelf,,Native,Extant,
3524260,132987,Echinopora gemmacea,2.2.1,Kuroshio Current,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.6.4,Agulhas Current,,Native,Extant,
3524260,132987,Echinopora gemmacea,4.6.5,Red Sea,,Native,Extant,
