,Threat,Species Count
0,fishing and harvesting aquatic resources,183
1,domestic and urban waste water,178
2,marine and freshwater aquaculture,1
3,airborne pollutants,176
4,temperature extremes,177
5,storms and flooding,176
6,agricultural and forestry effluents,176
7,commercial and industrial areas,176
8,recreational activities,176
9,industrial and military effluents,177
10,invasive non native/alien species/diseases,176
11,housing and urban areas,177
12,tourism and recreation areas,176
13,shipping lanes,177
14,problematic native species/diseases,177
15,disease of unknown cause,2
16,logging and wood harvesting,2
17,problematic species/disease of unknown origin,1
