assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
1616879,180337,Actinopyga mauritiana,SB,Solomon Islands,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,CK,Cook Islands,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,NC,New Caledonia,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,CN,China,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,YT,Mayotte,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,TZ,"Tanzania, United Republic of",Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,PG,Papua New Guinea,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,LK,Sri Lanka,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,EG,Egypt,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,ER,Eritrea,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,WF,Wallis and Futuna,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,PH,Philippines,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,PW,Palau,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,GU,Guam,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,SO,Somalia,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,MP,Northern Mariana Islands,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,MM,Myanmar,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,AU,Australia,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,KM,Comoros,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,SG,Singapore,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,MY,Malaysia,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,KH,Cambodia,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,FJ,Fiji,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,KI,Kiribati,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,ID,Indonesia,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,BN,Brunei Darussalam,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,MG,Madagascar,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,NR,Nauru,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,NU,Niue,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,TO,Tonga,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,TH,Thailand,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,VN,Viet Nam,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,RE,Réunion,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,VU,Vanuatu,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,FM,"Micronesia, Federated States of ",Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,KE,Kenya,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,DJ,Djibouti,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,SD,Sudan,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,AS,American Samoa,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,SC,Seychelles,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,US,United States,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,MZ,Mozambique,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,WS,Samoa,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,UM,United States Minor Outlying Islands,Extant,Native,"[""Resident""]",
1616879,180337,Actinopyga mauritiana,IN,India,Extant,Native,"[""Resident""]",
178341498,178290276,Pycnopodia helianthoides,MX,Mexico,Possibly Extant,Native,"[""Resident""]",
178341498,178290276,Pycnopodia helianthoides,CA,Canada,Extant,Native,"[""Resident""]",
178341498,178290276,Pycnopodia helianthoides,US,United States,Extant,Native,"[""Resident""]",
