assessmentId,internalTaxonId,scientificName,code,name,note
3466788,132863,Acropora prostrata,3.2,Species recovery,
3466788,132863,Acropora prostrata,3.4.1,Captive breeding/artificial propagation,
3466788,132863,Acropora prostrata,2.1,Site/area management,
3466788,132863,Acropora prostrata,3.4.2,Genome resource bank,
3466788,132863,Acropora prostrata,2.3,Habitat & natural process restoration,
3466788,132863,Acropora prostrata,1.1,Site/area protection,
3468128,132866,Montipora angulata,3.2,Species recovery,
3468128,132866,Montipora angulata,3.4.1,Captive breeding/artificial propagation,
3468128,132866,Montipora angulata,2.1,Site/area management,
3468128,132866,Montipora angulata,3.4.2,Genome resource bank,
3468128,132866,Montipora angulata,2.3,Habitat & natural process restoration,
3468128,132866,Montipora angulata,1.1,Site/area protection,
3468654,132867,Acropora pectinatus,3.2,Species recovery,
3468654,132867,Acropora pectinatus,3.4.1,Captive breeding/artificial propagation,
3468654,132867,Acropora pectinatus,2.1,Site/area management,
3468654,132867,Acropora pectinatus,3.4.2,Genome resource bank,
3468654,132867,Acropora pectinatus,2.3,Habitat & natural process restoration,
3468654,132867,Acropora pectinatus,1.1,Site/area protection,
3470090,132870,Moseleya latistellata,3.2,Species recovery,
3470090,132870,Moseleya latistellata,3.4.1,Captive breeding/artificial propagation,
3470090,132870,Moseleya latistellata,2.1,Site/area management,
3470090,132870,Moseleya latistellata,3.4.2,Genome resource bank,
3470090,132870,Moseleya latistellata,2.3,Habitat & natural process restoration,
3470090,132870,Moseleya latistellata,1.1,Site/area protection,
3470903,132872,Favia vietnamensis,3.2,Species recovery,
3470903,132872,Favia vietnamensis,3.4.1,Captive breeding/artificial propagation,
3470903,132872,Favia vietnamensis,2.1,Site/area management,
3470903,132872,Favia vietnamensis,3.4.2,Genome resource bank,
3470903,132872,Favia vietnamensis,2.3,Habitat & natural process restoration,
3470903,132872,Favia vietnamensis,1.1,Site/area protection,
3475620,132882,Acropora japonica,3.2,Species recovery,
3475620,132882,Acropora japonica,3.4.1,Captive breeding/artificial propagation,
3475620,132882,Acropora japonica,2.1,Site/area management,
3475620,132882,Acropora japonica,3.4.2,Genome resource bank,
3475620,132882,Acropora japonica,2.3,Habitat & natural process restoration,
3475620,132882,Acropora japonica,1.1,Site/area protection,
3480772,132892,Montipora hodgsoni,3.2,Species recovery,
3480772,132892,Montipora hodgsoni,3.4.1,Captive breeding/artificial propagation,
3480772,132892,Montipora hodgsoni,2.1,Site/area management,
3480772,132892,Montipora hodgsoni,3.4.2,Genome resource bank,
3480772,132892,Montipora hodgsoni,2.3,Habitat & natural process restoration,
3480772,132892,Montipora hodgsoni,1.1,Site/area protection,
3481551,132894,Favia veroni,3.2,Species recovery,
3481551,132894,Favia veroni,3.4.1,Captive breeding/artificial propagation,
3481551,132894,Favia veroni,2.1,Site/area management,
3481551,132894,Favia veroni,3.4.2,Genome resource bank,
3481551,132894,Favia veroni,2.3,Habitat & natural process restoration,
3481551,132894,Favia veroni,1.1,Site/area protection,
3487914,132908,Acropora rosaria,3.2,Species recovery,
3487914,132908,Acropora rosaria,3.4.1,Captive breeding/artificial propagation,
3487914,132908,Acropora rosaria,2.1,Site/area management,
3487914,132908,Acropora rosaria,3.4.2,Genome resource bank,
3487914,132908,Acropora rosaria,2.3,Habitat & natural process restoration,
3487914,132908,Acropora rosaria,1.1,Site/area protection,
3488412,132909,Acropora turaki,3.2,Species recovery,
3488412,132909,Acropora turaki,3.4.1,Captive breeding/artificial propagation,
