,Country,Species,Proportion
0,"Taiwan, Province of China",243,0.826530612244898
1,Yemen,135,0.45918367346938777
2,Pakistan,34,0.11564625850340136
3,Oman,66,0.22448979591836735
4,"Iran, Islamic Republic of",46,0.1564625850340136
5,"Tanzania, United Republic of",134,0.4557823129251701
6,Somalia,138,0.46938775510204084
7,Seychelles,154,0.5238095238095238
8,Réunion,149,0.5068027210884354
9,Mozambique,158,0.5374149659863946
10,Mayotte,150,0.5102040816326531
11,Mauritius,165,0.5612244897959183
12,Kenya,134,0.4557823129251701
13,Cambodia,171,0.5816326530612245
14,Bangladesh,7,0.023809523809523808
15,Vanuatu,190,0.6462585034013606
16,Tonga,115,0.391156462585034
17,Solomon Islands,244,0.8299319727891157
18,Samoa,144,0.4897959183673469
19,Papua New Guinea,258,0.8775510204081632
20,New Caledonia,192,0.6530612244897959
21,Fiji,207,0.7040816326530612
22,Australia,278,0.9455782312925171
23,American Samoa,143,0.48639455782312924
24,United States,4,0.013605442176870748
25,India,172,0.5850340136054422
26,China,57,0.19387755102040816
27,Indonesia,285,0.9693877551020408
28,Malaysia,278,0.9455782312925171
29,Myanmar,168,0.5714285714285714
30,Philippines,282,0.9591836734693877
31,Singapore,270,0.9183673469387755
32,Sri Lanka,143,0.48639455782312924
33,Thailand,271,0.9217687074829932
34,Viet Nam,215,0.7312925170068028
35,Comoros,151,0.5136054421768708
36,Djibouti,123,0.41836734693877553
37,Cook Islands,96,0.32653061224489793
38,Egypt,120,0.40816326530612246
39,Palau,210,0.7142857142857143
40,"Micronesia, Federated States of ",207,0.7040816326530612
41,Kiribati,191,0.6496598639455783
42,Brunei Darussalam,5,0.017006802721088437
43,Madagascar,160,0.54421768707483
44,Japan,239,0.8129251700680272
45,Maldives,122,0.41496598639455784
46,Sudan,120,0.40816326530612246
47,South Africa,56,0.19047619047619047
48,Eritrea,128,0.43537414965986393
49,Saudi Arabia,130,0.4421768707482993
50,Jordan,118,0.4013605442176871
51,Israel,118,0.4013605442176871
52,British Indian Ocean Territory,157,0.5340136054421769
53,Wallis and Futuna,161,0.5476190476190477
54,Tuvalu,183,0.6224489795918368
55,Nauru,175,0.5952380952380952
56,Northern Mariana Islands,111,0.37755102040816324
57,Marshall Islands,176,0.5986394557823129
58,Tokelau,104,0.35374149659863946
59,Guam,111,0.37755102040816324
60,French Polynesia,98,0.3333333333333333
61,Niue,99,0.336734693877551
62,Christmas Island,56,0.19047619047619047
63,Russian Federation,1,0.003401360544217687
64,"Korea, Republic of",4,0.013605442176870748
65,"Korea, Democratic People's Republic of",2,0.006802721088435374
66,Cocos (Keeling) Islands,56,0.19047619047619047
67,United States Minor Outlying Islands,119,0.40476190476190477
68,Timor-Leste,1,0.003401360544217687
69,United Arab Emirates,43,0.14625850340136054
70,Iraq,40,0.1360544217687075
71,Qatar,43,0.14625850340136054
72,Bahrain,43,0.14625850340136054
73,Kuwait,40,0.1360544217687075
74,Chile,27,0.09183673469387756
75,Pitcairn,42,0.14285714285714285
76,Norfolk Island,27,0.09183673469387756
77,New Zealand,3,0.01020408163265306
78,Ecuador,1,0.003401360544217687
79,Colombia,1,0.003401360544217687
80,Panama,1,0.003401360544217687
81,Hong Kong,1,0.003401360544217687
