assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
1604460,180238,Stichopus herrmanni,9.9,Marine Neritic - Seagrass (Submerged),,,Suitable
1604460,180238,Stichopus herrmanni,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,,,Suitable
1604460,180238,Stichopus herrmanni,9.5,Marine Neritic - Subtidal Sandy-Mud,,,Suitable
1604460,180238,Stichopus herrmanni,9.8,Marine Neritic - Coral Reef,,,Suitable
1604460,180238,Stichopus herrmanni,9.8.4,Lagoon,,,Suitable
1606648,180257,Holothuria scabra,9.4,Marine Neritic - Subtidal Sandy,,,Suitable
1606648,180257,Holothuria scabra,9.5,Marine Neritic - Subtidal Sandy-Mud,,,Suitable
1606648,180257,Holothuria scabra,9.6,Marine Neritic - Subtidal Muddy,,,Suitable
1606648,180257,Holothuria scabra,9.10,Marine Neritic - Estuaries,,,Suitable
1606648,180257,Holothuria scabra,9.8.1,Outer Reef Channel,,,Suitable
1606648,180257,Holothuria scabra,9.8.2,Back Slope,,,Suitable
1606648,180257,Holothuria scabra,9.8.4,Lagoon,,,Suitable
1606648,180257,Holothuria scabra,9.9,Marine Neritic - Seagrass (Submerged),,,Suitable
1606648,180257,Holothuria scabra,12.7,Marine Intertidal - Mangrove Submerged Roots,,,Suitable
1606648,180257,Holothuria scabra,9.8,Marine Neritic - Coral Reef,,,Suitable
1607822,180265,Actinopyga miliaris,9.8.1,Outer Reef Channel,,,Suitable
1607822,180265,Actinopyga miliaris,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
1607822,180265,Actinopyga miliaris,10.1,Marine Oceanic - Epipelagic (0-200m),,,Suitable
1607822,180265,Actinopyga miliaris,9.8.4,Lagoon,,,Suitable
1607822,180265,Actinopyga miliaris,9.9,Marine Neritic - Seagrass (Submerged),,,Suitable
1609567,180275,Holothuria lessoni,9.4,Marine Neritic - Subtidal Sandy,,,Suitable
1609567,180275,Holothuria lessoni,9.5,Marine Neritic - Subtidal Sandy-Mud,,,Suitable
1609567,180275,Holothuria lessoni,9.8.2,Back Slope,,,Suitable
1609567,180275,Holothuria lessoni,9.8.4,Lagoon,,,Suitable
1609567,180275,Holothuria lessoni,9.9,Marine Neritic - Seagrass (Submerged),,,Suitable
1609567,180275,Holothuria lessoni,9.8,Marine Neritic - Coral Reef,,,Suitable
1629389,180424,Apostichopus japonicus,9.9,Marine Neritic - Seagrass (Submerged),,,Suitable
1636021,180481,Thelenota ananas,9.5,Marine Neritic - Subtidal Sandy-Mud,,,Suitable
1636021,180481,Thelenota ananas,9.6,Marine Neritic - Subtidal Muddy,,,Suitable
1636021,180481,Thelenota ananas,9.8.4,Lagoon,,,Suitable
