,Threat,Species Count
0,fishing and harvesting aquatic resources,294
1,airborne pollutants,286
2,temperature extremes,286
3,storms and flooding,286
4,agricultural and forestry effluents,286
5,commercial and industrial areas,286
6,recreational activities,286
7,industrial and military effluents,286
8,invasive non native/alien species/diseases,286
9,domestic and urban waste water,286
10,housing and urban areas,286
11,tourism and recreation areas,286
12,shipping lanes,286
13,problematic native species/diseases,286
14,logging and wood harvesting,4
15,disease of unknown cause,1
16,problematic species/disease of unknown origin,1
17,other climate change and severe weather impacts,1
18,habitat shifting and alteration,1
19,other ecosystem modifications,1
