assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
931625,162627,Sepia apama,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,apama,,,,"Gray, 1849",Near Threatened,,3.1,Decreasing,Global
953097,162917,Opisthoteuthis mero,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,OPISTHOTEUTHIDAE,Opisthoteuthis,mero,,,,"O’Shea, 1999",Endangered,A2b,3.1,Decreasing,Global
964020,163017,Heterololigo bleekeri,ANIMALIA,MOLLUSCA,MYOPSIDA,CEPHALOPODA,LOLIGINIDAE,Heterololigo,bleekeri,,,,"(Keferstein, 1866)",Least Concern,,3.1,Decreasing,Global
999635,163337,Cirroctopus hochbergi,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,CIRROCTOPODIDAE,Cirroctopus,hochbergi,,,,"O’Shea, 1999",Endangered,A2bc; C1,3.1,Decreasing,Global
1604460,180238,Stichopus herrmanni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Stichopus,herrmanni,,,,"Semper, 1868",Vulnerable,A2bd,3.1,Decreasing,Global
1606648,180257,Holothuria scabra,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,scabra,,,,"Jaeger, 1833",Endangered,A2bd,3.1,Decreasing,Global
1607822,180265,Actinopyga miliaris,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,miliaris,,,,"(Quoy &amp; Gaimard, 1833)",Vulnerable,A2bd,3.1,Decreasing,Global
1609567,180275,Holothuria lessoni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,lessoni,,,,"Massin et al., 2009",Endangered,A2bd,3.1,Decreasing,Global
1616879,180337,Actinopyga mauritiana,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,mauritiana,,,,"(Quoy &amp; Gaimard, 1833)",Vulnerable,A2bd,3.1,Decreasing,Global
1618704,180352,Bohadschia vitiensis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,vitiensis,,,,"(Semper, 1868)",Data Deficient,,3.1,Decreasing,Global
1621878,180373,Isostichopus fuscus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Isostichopus,fuscus,,,,"(Ludwig, 1875)",Endangered,A2bd,3.1,Decreasing,Global
1627333,180411,Bohadschia marmorata,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,marmorata,,,,"(Jaeger, 1833)",Data Deficient,,3.1,Decreasing,Global
1629389,180424,Apostichopus japonicus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Apostichopus,japonicus,,,,"(Selenka, 1867)",Endangered,A2bd,3.1,Decreasing,Global
1636021,180481,Thelenota ananas,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Thelenota,ananas,,,,"(Jaeger, 1833)",Endangered,A2bd,3.1,Decreasing,Global
1642310,180518,Actinopyga echinites,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,echinites,,,,"(Jaeger, 1833)",Vulnerable,A2bd,3.1,Decreasing,Global
2108120,192521,Conus retifer,ANIMALIA,MOLLUSCA,NEOGASTROPODA,GASTROPODA,CONIDAE,Conus,retifer,,,,"Menke, 1829",Least Concern,,3.1,Decreasing,Global
2681354,200715,Holothuria fuscogilva,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,fuscogilva,,,,"Cherbonnier, 1980",Vulnerable,A2bd,3.1,Decreasing,Global
3466788,132863,Acropora prostrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,prostrata,,,,"(Dana, 1846)",Data Deficient,,3.1,Decreasing,Global
3468128,132866,Montipora angulata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,angulata,,,,"(Lamarck, 1816)",Vulnerable,A4ce,3.1,Decreasing,Global
3468654,132867,Acropora pectinatus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pectinatus,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3469001,132868,Goniastrea columella,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,columella,,,,"Crossland, 1948",Near Threatened,,3.1,Decreasing,Global
3470090,132870,Moseleya latistellata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Moseleya,latistellata,,,,"Quelch, 1884",Vulnerable,A4c,3.1,Decreasing,Global
3470903,132872,Favia vietnamensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,vietnamensis,,,,"Veron, 2002",Near Threatened,,3.1,Decreasing,Global
3475620,132882,Acropora japonica,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,japonica,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3477764,132886,Acropora seriata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,seriata,,,,"Ehrenberg, 1834",Data Deficient,,3.1,Decreasing,Global
3480772,132892,Montipora hodgsoni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,hodgsoni,,,,"Veron, 2002",Vulnerable,A4c,3.1,Decreasing,Global
3481551,132894,Favia veroni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,veroni,,,,"Moll &amp; Borel-Best, 1984",Near Threatened,,3.1,Decreasing,Global
3483734,132899,Favia rosaria,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,rosaria,,,,"Veron, 2002",Vulnerable,A4c,3.1,Decreasing,Global
3487914,132908,Acropora rosaria,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,rosaria,,,,"(Dana, 1846)",Data Deficient,,3.1,Decreasing,Global
3488412,132909,Acropora turaki,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,turaki,,,,"Wallace, 1994",Vulnerable,A4ce,3.1,Decreasing,Global
3488908,132910,Acropora divaricata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,divaricata,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3490281,132912,Enigmopora darveliensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Enigmopora,darveliensis,,,,"Ditlev, 2003",Data Deficient,,3.1,Decreasing,Global
3490569,132913,Acropora rudis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,rudis,,,,"(Rehberg, 1892)",Endangered,A4ce,3.1,Decreasing,Global
3493197,132919,Acropora stoddarti,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,stoddarti,,,,"Pillai &amp; Scheer, 1976",Data Deficient,,3.1,Decreasing,Global
