,Country,Species,Proportion
0,Australia,315,0.9210526315789473
1,"Taiwan, Province of China",244,0.7134502923976608
2,Yemen,146,0.4269005847953216
3,Pakistan,36,0.10526315789473684
4,Oman,70,0.2046783625730994
5,"Iran, Islamic Republic of",47,0.13742690058479531
6,"Tanzania, United Republic of",144,0.42105263157894735
7,Somalia,148,0.4327485380116959
8,Seychelles,165,0.4824561403508772
9,Réunion,160,0.4678362573099415
10,Mozambique,170,0.49707602339181284
11,Mayotte,161,0.47076023391812866
12,Mauritius,175,0.5116959064327485
13,Kenya,144,0.42105263157894735
14,Cambodia,176,0.5146198830409356
15,Bangladesh,10,0.029239766081871343
16,Vanuatu,203,0.5935672514619883
17,Tonga,125,0.3654970760233918
18,Solomon Islands,273,0.7982456140350878
19,Samoa,155,0.45321637426900585
20,Papua New Guinea,296,0.8654970760233918
21,New Caledonia,209,0.6111111111111112
22,Fiji,225,0.6578947368421053
23,American Samoa,155,0.45321637426900585
24,United States,5,0.014619883040935672
25,India,188,0.5497076023391813
26,China,60,0.17543859649122806
27,Indonesia,331,0.9678362573099415
28,Malaysia,310,0.9064327485380117
29,Myanmar,183,0.5350877192982456
30,Philippines,317,0.9269005847953217
31,Singapore,294,0.8596491228070176
32,Sri Lanka,156,0.45614035087719296
33,Thailand,300,0.8771929824561403
34,Viet Nam,224,0.6549707602339181
35,Comoros,162,0.47368421052631576
36,Djibouti,132,0.38596491228070173
37,Cook Islands,104,0.30409356725146197
38,Egypt,131,0.3830409356725146
39,Palau,223,0.652046783625731
40,"Micronesia, Federated States of ",227,0.6637426900584795
41,Kiribati,203,0.5935672514619883
42,Brunei Darussalam,10,0.029239766081871343
43,Madagascar,174,0.5087719298245614
44,Japan,240,0.7017543859649122
45,Maldives,127,0.3713450292397661
46,Sudan,130,0.38011695906432746
47,South Africa,58,0.1695906432748538
48,Eritrea,139,0.4064327485380117
49,Saudi Arabia,140,0.4093567251461988
50,Jordan,126,0.3684210526315789
51,Israel,125,0.3654970760233918
52,British Indian Ocean Territory,164,0.47953216374269003
53,Wallis and Futuna,172,0.5029239766081871
54,Tuvalu,195,0.5701754385964912
55,Nauru,184,0.5380116959064327
56,Northern Mariana Islands,116,0.3391812865497076
57,Marshall Islands,188,0.5497076023391813
58,Tokelau,112,0.32748538011695905
59,Guam,116,0.3391812865497076
60,French Polynesia,105,0.30701754385964913
61,Niue,107,0.3128654970760234
62,Christmas Island,60,0.17543859649122806
63,United States Minor Outlying Islands,124,0.36257309941520466
64,Timor-Leste,4,0.011695906432748537
65,Pitcairn,47,0.13742690058479531
66,Cocos (Keeling) Islands,61,0.1783625730994152
67,Colombia,2,0.005847953216374269
68,Macao,1,0.0029239766081871343
69,Norfolk Island,31,0.09064327485380116
70,Disputed Territory,1,0.0029239766081871343
71,United Arab Emirates,44,0.1286549707602339
72,Iraq,41,0.11988304093567251
73,Qatar,44,0.1286549707602339
74,Bahrain,44,0.1286549707602339
75,Kuwait,41,0.11988304093567251
76,Chile,27,0.07894736842105263
77,"Korea, Republic of",2,0.005847953216374269
78,New Zealand,4,0.011695906432748537
79,Ecuador,1,0.0029239766081871343
80,Panama,1,0.0029239766081871343
81,"Korea, Democratic People's Republic of",1,0.0029239766081871343
82,Hong Kong,1,0.0029239766081871343
