internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
162627,Sepia apama,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,apama,,,,,"Gray, 1849","Regional differences between male colour patterns suggest there may be distinct populations or subspecies (Norman 2003). Individuals from the east and southern coast show both genetic and morphological differences that suggest previous isolation and subsequent secondary contact to form a continuous distribution (Reid <span style=""font-style: italic;"">et al.</span> 2005).&#160; It has been suggested that the Spencer Gulf population may represent a separate species (Bronwyn Gillanders pers. comm. 2010)."
163017,Heterololigo bleekeri,ANIMALIA,MOLLUSCA,MYOPSIDA,CEPHALOPODA,LOLIGINIDAE,Heterololigo,bleekeri,,,,,"(Keferstein, 1866)","The type locality is given simply as ""Japan"" (Sweeney 2012)."
180238,Stichopus herrmanni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Stichopus,herrmanni,,,,,"Semper, 1868","This species was known as <em>Stichopus variegatus </em>(Rasolofonirina pers comm. 2010), which is now synonomized under <em>S. horrens</em>."
180257,Holothuria scabra,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,scabra,,,,,"Jaeger, 1833","<p><span style=""font-style: italic;"">Holothuria scabra</span> and <span style=""font-style: italic;"">H. scabra</span> var. <span style=""font-style: italic;"">versicolor</span> (now <span style=""font-style: italic;"">H. lessoni</span>) have recently been properly identified as distinctive species (Uthicke <span style=""font-style: italic;"">et al. </span>2005).</p>"
180265,Actinopyga miliaris,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,miliaris,,,,,"(Quoy &amp; Gaimard, 1833)",
180275,Holothuria lessoni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,lessoni,,,,,"Massin et al., 2009","<p>    </p><p>Previously known as <span style=""font-style: italic;"">Holothuria scabra</span> var. <span style=""font-style: italic;"">versicolor</span>. <br/></p><p><br/></p><p><br/></p>  <p></p>"
180337,Actinopyga mauritiana,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,mauritiana,,,,,"(Quoy &amp; Gaimard, 1833)",<p>There are a few different morphs in the Africa and Indian Ocean region (Conand 2008) which may make correct identification of the species difficult.</p>
180352,Bohadschia vitiensis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,vitiensis,,,,,"(Semper, 1868)","A critical review is needed, as there is some confusion with<em> B. marmorata</em> and <em>B. tenuissima </em>(Rasolofonirina pers. comm. 2010).<br/><br/>    <p>This species may be confused with <span style=""font-style: italic;"">B. subrubra</span> (Conand 2008). Samyn <span style=""font-style: italic;"">et al.</span> (2006) consider <span style=""font-style: italic;"">B. similis</span> and <span style=""font-style: italic;"">B. vitiensis</span> as synonyms of <span style=""font-style: italic;"">B. marmorata</span>. Conand (2008) recommends the taxonomic revision of the whole genus <span style=""font-style: italic;"">Bohadschia</span>.</p>"
180411,Bohadschia marmorata,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,marmorata,,,,,"(Jaeger, 1833)","<p>Conand (2008) recommends the taxonomic revision of the whole genus <span style=""font-style: italic;"">Bohadschia</span>. This species may be mistaken with <span style=""font-style: italic;"">B. subrubra</span> and <span style=""font-style: italic;"">B. vitiensis</span> (Conand 2008).</p>    <p>Samyn <span style=""font-style: italic;"">et al</span>. (2006) consider <span style=""font-style: italic;"">B. similis</span> and <span style=""font-style: italic;"">B. vitiensis</span> as synonyms of <span style=""font-style: italic;"">B. marmorata.&#160; </span>Uthicke <span style=""font-style: italic;"">et al.</span> (2010) states that <span style=""font-style: italic;"">B. </span><span style=""font-style: italic;"">vitiensis</span> is not a synomym of <span style=""font-style: italic;"">B. marmorata.</span> Clouse <span style=""font-style: italic;"">et al.</span> (2005<span style=""font-style: italic;"">) </span>redescribed this species from Micronesia, but its ecological traits are discongruent with the ecological traits of similar looking specimens from the South Pacific.<span style=""font-style: italic;""><br/></span></p><p>    </p><span style=""font-style: italic;""></span><p></p>"
180481,Thelenota ananas,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Thelenota,ananas,,,,,"(Jaeger, 1833)",
