,Threat,Species Count
0,fishing and harvesting aquatic resources,342
1,habitat shifting and alteration,2
2,other climate change and severe weather impacts,2
3,other ecosystem modifications,2
4,airborne pollutants,328
5,temperature extremes,328
6,storms and flooding,328
7,agricultural and forestry effluents,328
8,commercial and industrial areas,328
9,recreational activities,328
10,industrial and military effluents,328
11,invasive non native/alien species/diseases,328
12,domestic and urban waste water,328
13,housing and urban areas,328
14,tourism and recreation areas,328
15,shipping lanes,328
16,problematic native species/diseases,328
17,logging and wood harvesting,4
18,disease of unknown cause,1
19,problematic species/disease of unknown origin,1
