,Country,Species,Proportion
0,"Taiwan, Province of China",244,0.7134502923976608
1,Yemen,146,0.4269005847953216
2,Pakistan,36,0.10526315789473684
3,Oman,70,0.2046783625730994
4,"Iran, Islamic Republic of",47,0.13742690058479531
5,"Tanzania, United Republic of",144,0.42105263157894735
6,Somalia,148,0.4327485380116959
7,Seychelles,166,0.4853801169590643
8,Réunion,160,0.4678362573099415
9,Mozambique,170,0.49707602339181284
10,Mayotte,161,0.47076023391812866
11,Mauritius,176,0.5146198830409356
12,Kenya,144,0.42105263157894735
13,Cambodia,176,0.5146198830409356
14,Bangladesh,11,0.03216374269005848
15,Vanuatu,203,0.5935672514619883
16,Tonga,125,0.3654970760233918
17,Solomon Islands,273,0.7982456140350878
18,Samoa,157,0.4590643274853801
19,Papua New Guinea,296,0.8654970760233918
20,New Caledonia,209,0.6111111111111112
21,Fiji,225,0.6578947368421053
22,Australia,315,0.9210526315789473
23,American Samoa,157,0.4590643274853801
24,United States,9,0.02631578947368421
25,India,189,0.5526315789473685
26,China,62,0.18128654970760233
27,Indonesia,332,0.9707602339181286
28,Malaysia,311,0.9093567251461988
29,Myanmar,184,0.5380116959064327
30,Philippines,317,0.9269005847953217
31,Singapore,294,0.8596491228070176
32,Sri Lanka,157,0.4590643274853801
33,Thailand,301,0.8801169590643275
34,Viet Nam,224,0.6549707602339181
35,Comoros,162,0.47368421052631576
36,Djibouti,132,0.38596491228070173
37,Madagascar,174,0.5087719298245614
38,Wallis and Futuna,172,0.5029239766081871
39,Palau,223,0.652046783625731
40,Niue,107,0.3128654970760234
41,Christmas Island,60,0.17543859649122806
42,British Indian Ocean Territory,165,0.4824561403508772
43,Maldives,128,0.3742690058479532
44,Tokelau,112,0.32748538011695905
45,Japan,242,0.7076023391812866
46,Tuvalu,195,0.5701754385964912
47,Egypt,131,0.3830409356725146
48,Northern Mariana Islands,116,0.3391812865497076
49,Marshall Islands,188,0.5497076023391813
50,Timor-Leste,4,0.011695906432748537
51,Nauru,184,0.5380116959064327
52,Brunei Darussalam,10,0.029239766081871343
53,Kiribati,203,0.5935672514619883
54,"Micronesia, Federated States of ",227,0.6637426900584795
55,Guam,116,0.3391812865497076
56,Pitcairn,47,0.13742690058479531
57,French Polynesia,105,0.30701754385964913
58,Cook Islands,104,0.30409356725146197
59,Panama,2,0.005847953216374269
60,Colombia,3,0.008771929824561403
61,Costa Rica,1,0.0029239766081871343
62,Mexico,3,0.008771929824561403
63,Honduras,1,0.0029239766081871343
64,Ecuador,4,0.011695906432748537
65,El Salvador,1,0.0029239766081871343
66,Guatemala,1,0.0029239766081871343
67,Nicaragua,1,0.0029239766081871343
68,Peru,1,0.0029239766081871343
69,Cocos (Keeling) Islands,61,0.1783625730994152
70,South Africa,58,0.1695906432748538
71,Israel,125,0.3654970760233918
72,Sudan,130,0.38011695906432746
73,Eritrea,139,0.4064327485380117
74,Saudi Arabia,140,0.4093567251461988
75,Jordan,126,0.3684210526315789
76,United States Minor Outlying Islands,125,0.3654970760233918
77,Chile,27,0.07894736842105263
78,Kuwait,41,0.11988304093567251
79,United Arab Emirates,44,0.1286549707602339
80,Norfolk Island,31,0.09064327485380116
81,Iraq,41,0.11988304093567251
82,Qatar,44,0.1286549707602339
83,Bahrain,44,0.1286549707602339
84,New Zealand,7,0.02046783625730994
85,Canada,1,0.0029239766081871343
86,Russian Federation,1,0.0029239766081871343
87,"Korea, Republic of",4,0.011695906432748537
88,"Korea, Democratic People's Republic of",2,0.005847953216374269
89,Hong Kong,1,0.0029239766081871343
90,Macao,1,0.0029239766081871343
91,Disputed Territory,1,0.0029239766081871343
