assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
3503904,132944,Montipora nodosa,4.5.13,Gulf of Thailand,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.12,South China Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.11,East China Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.3,Somali Current,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.4,Indonesian Seas,,Native,Extant,
3503904,132944,Montipora nodosa,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.2,Arabian Sea,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.5,East-Central Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.1,Bay of Bengal,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.4,North Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.3,Northeast Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.2,Northwest Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,4.4.1,West-Central Australian Shelf,,Native,Extant,
3503904,132944,Montipora nodosa,2.2.1,Kuroshio Current,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.4,Agulhas Current,,Native,Extant,
3503904,132944,Montipora nodosa,4.6.5,Red Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.5.13,Gulf of Thailand,,Native,Extant,
3578932,133120,Acropora latistella,4.5.12,South China Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.5.11,East China Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.6.3,Somali Current,,Native,Extant,
3578932,133120,Acropora latistella,4.5.4,Indonesian Seas,,Native,Extant,
3578932,133120,Acropora latistella,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.6.2,Arabian Sea,,Native,Extant,
3578932,133120,Acropora latistella,4.4.5,East-Central Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.6.1,Bay of Bengal,,Native,Extant,
3578932,133120,Acropora latistella,4.4.4,North Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.4.3,Northeast Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.4.2,Northwest Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,4.4.1,West-Central Australian Shelf,,Native,Extant,
3578932,133120,Acropora latistella,2.2.1,Kuroshio Current,,Native,Extant,
3578932,133120,Acropora latistella,4.6.4,Agulhas Current,,Native,Extant,
3578932,133120,Acropora latistella,4.6.5,Red Sea,,Native,Extant,
3625707,133196,Montipora incrassata,4.5.4,Indonesian Seas,,Native,Extant,
3625707,133196,Montipora incrassata,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3625707,133196,Montipora incrassata,4.4.5,East-Central Australian Shelf,,Native,Extant,
3625707,133196,Montipora incrassata,4.6.1,Bay of Bengal,,Native,Extant,
3625707,133196,Montipora incrassata,4.4.4,North Australian Shelf,,Native,Extant,
3625707,133196,Montipora incrassata,4.4.3,Northeast Australian Shelf,,Native,Extant,
3625707,133196,Montipora incrassata,4.4.2,Northwest Australian Shelf,,Native,Extant,
3625707,133196,Montipora incrassata,4.4.1,West-Central Australian Shelf,,Native,Extant,
3625707,133196,Montipora incrassata,2.2.1,Kuroshio Current,,Native,Extant,
3625707,133196,Montipora incrassata,3.2.1,Insular Pacific Hawaiian,,Native,Extant,
3625707,133196,Montipora incrassata,4.5.11,East China Sea,,Native,Extant,
3625707,133196,Montipora incrassata,4.5.12,South China Sea,,Native,Extant,
3625707,133196,Montipora incrassata,4.5.13,Gulf of Thailand,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.5.13,Gulf of Thailand,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.5.12,South China Sea,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.5.11,East China Sea,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.6.5,Red Sea,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.6.3,Somali Current,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.5.4,Indonesian Seas,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.6.2,Arabian Sea,,Native,Extant,
3667540,133278,Leptastrea pruinosa,4.5.7,Sulu-Celebes Sea,,Native,Extant,
