,Links
Isostichopus fuscus,6
Montipora nodosa,18
Acropora latistella,18
Montipora incrassata,18
Leptastrea pruinosa,17
Montipora crassituberculata,17
Montipora australiensis,18
Acropora hyacinthus,18
Acropora subulata,18
Rhizopsammia wellingtoni,2
Tubastraea floreana,2
Goniastrea australensis,17
Montastrea curta,17
Acropora listeri,18
Acropora samoensis,18
Acropora microphthalma,18
Favia rotumana,17
Leptastrea purpurea,17
Montipora caliculata,18
Acropora nasuta,18
Acropora robusta,18
Plesiastrea versipora,17
Astreopora myriophthalma,17
Acropora valida,18
Acropora lutkeni,18
Montipora grisea,18
Montipora foveolata,18
Favia stelligera,17
Favia matthaii,17
Montipora verrucosa,18
Leptastrea transversa,17
