,Threat,Species Count
0,fishing and harvesting aquatic resources,29
1,domestic and urban waste water,29
2,marine and freshwater aquaculture,1
3,airborne pollutants,28
4,temperature extremes,30
5,storms and flooding,28
6,agricultural and forestry effluents,28
7,commercial and industrial areas,28
8,recreational activities,28
9,industrial and military effluents,28
10,invasive non native/alien species/diseases,28
11,housing and urban areas,28
12,tourism and recreation areas,28
13,shipping lanes,28
14,problematic native species/diseases,28
15,other climate change and severe weather impacts,2
