assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
1621878,180373,Isostichopus fuscus,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,9.1.1,Sewage,"","",,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,9.1.2,Run-off,"","",,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,9.1.3,Type Unknown/Unrecorded,"","",,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,2.4.2,Industrial aquaculture,"","",,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3503904,132944,Montipora nodosa,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3503904,132944,Montipora nodosa,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3578932,133120,Acropora latistella,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3578932,133120,Acropora latistella,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3578932,133120,Acropora latistella,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3578932,133120,Acropora latistella,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3578932,133120,Acropora latistella,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3578932,133120,Acropora latistella,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3578932,133120,Acropora latistella,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3578932,133120,Acropora latistella,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
