assessmentId,internalTaxonId,scientificName,code,name,note
931625,162627,Sepia apama,1.1,Site/area protection,
953097,162917,Opisthoteuthis mero,2.1,Site/area management,
999635,163337,Cirroctopus hochbergi,2.1,Site/area management,
3468128,132866,Montipora angulata,3.2,Species recovery,
3468128,132866,Montipora angulata,3.4.1,Captive breeding/artificial propagation,
3468128,132866,Montipora angulata,2.1,Site/area management,
3468128,132866,Montipora angulata,3.4.2,Genome resource bank,
3468128,132866,Montipora angulata,2.3,Habitat & natural process restoration,
3468128,132866,Montipora angulata,1.1,Site/area protection,
3483734,132899,Favia rosaria,3.2,Species recovery,
3483734,132899,Favia rosaria,3.4.1,Captive breeding/artificial propagation,
3483734,132899,Favia rosaria,2.1,Site/area management,
3483734,132899,Favia rosaria,3.4.2,Genome resource bank,
3483734,132899,Favia rosaria,2.3,Habitat & natural process restoration,
3483734,132899,Favia rosaria,1.1,Site/area protection,
3488908,132910,Acropora divaricata,3.2,Species recovery,
3488908,132910,Acropora divaricata,3.4.1,Captive breeding/artificial propagation,
3488908,132910,Acropora divaricata,2.1,Site/area management,
3488908,132910,Acropora divaricata,3.4.2,Genome resource bank,
3488908,132910,Acropora divaricata,2.3,Habitat & natural process restoration,
3488908,132910,Acropora divaricata,1.1,Site/area protection,
3498522,132931,Acropora willisae,3.2,Species recovery,
3498522,132931,Acropora willisae,3.4.1,Captive breeding/artificial propagation,
3498522,132931,Acropora willisae,2.1,Site/area management,
3498522,132931,Acropora willisae,3.4.2,Genome resource bank,
3498522,132931,Acropora willisae,2.3,Habitat & natural process restoration,
3498522,132931,Acropora willisae,1.1,Site/area protection,
3503904,132944,Montipora nodosa,3.2,Species recovery,
3503904,132944,Montipora nodosa,3.4.1,Captive breeding/artificial propagation,
3503904,132944,Montipora nodosa,2.1,Site/area management,
3503904,132944,Montipora nodosa,3.4.2,Genome resource bank,
3503904,132944,Montipora nodosa,2.3,Habitat & natural process restoration,
3503904,132944,Montipora nodosa,1.1,Site/area protection,
3520070,132979,Favites complanata,3.2,Species recovery,
3520070,132979,Favites complanata,3.4.1,Captive breeding/artificial propagation,
3520070,132979,Favites complanata,2.1,Site/area management,
3520070,132979,Favites complanata,3.4.2,Genome resource bank,
3520070,132979,Favites complanata,2.3,Habitat & natural process restoration,
3520070,132979,Favites complanata,1.1,Site/area protection,
3524260,132987,Echinopora gemmacea,3.2,Species recovery,
3524260,132987,Echinopora gemmacea,3.4.1,Captive breeding/artificial propagation,
3524260,132987,Echinopora gemmacea,2.1,Site/area management,
3524260,132987,Echinopora gemmacea,3.4.2,Genome resource bank,
3524260,132987,Echinopora gemmacea,2.3,Habitat & natural process restoration,
3524260,132987,Echinopora gemmacea,1.1,Site/area protection,
3524962,132988,Acropora longicyathus,3.2,Species recovery,
3524962,132988,Acropora longicyathus,3.4.1,Captive breeding/artificial propagation,
3524962,132988,Acropora longicyathus,2.1,Site/area management,
3524962,132988,Acropora longicyathus,3.4.2,Genome resource bank,
3524962,132988,Acropora longicyathus,2.3,Habitat & natural process restoration,
3524962,132988,Acropora longicyathus,1.1,Site/area protection,
3530977,133060,Goniastrea favulus,3.2,Species recovery,
3530977,133060,Goniastrea favulus,3.4.1,Captive breeding/artificial propagation,
3530977,133060,Goniastrea favulus,2.1,Site/area management,
3530977,133060,Goniastrea favulus,3.4.2,Genome resource bank,
3530977,133060,Goniastrea favulus,2.3,Habitat & natural process restoration,
3530977,133060,Goniastrea favulus,1.1,Site/area protection,
3534237,133003,Leptastrea bewickensis,3.2,Species recovery,
3534237,133003,Leptastrea bewickensis,3.4.1,Captive breeding/artificial propagation,
3534237,133003,Leptastrea bewickensis,2.1,Site/area management,
3534237,133003,Leptastrea bewickensis,3.4.2,Genome resource bank,
3534237,133003,Leptastrea bewickensis,2.3,Habitat & natural process restoration,
3534237,133003,Leptastrea bewickensis,1.1,Site/area protection,
3545567,133015,Montipora millepora,3.2,Species recovery,
3545567,133015,Montipora millepora,3.4.1,Captive breeding/artificial propagation,
3545567,133015,Montipora millepora,2.1,Site/area management,
3545567,133015,Montipora millepora,3.4.2,Genome resource bank,
3545567,133015,Montipora millepora,2.3,Habitat & natural process restoration,
3545567,133015,Montipora millepora,1.1,Site/area protection,
3564383,133033,Acropora pulchra,3.2,Species recovery,
3564383,133033,Acropora pulchra,3.4.1,Captive breeding/artificial propagation,
3564383,133033,Acropora pulchra,2.1,Site/area management,
3564383,133033,Acropora pulchra,3.4.2,Genome resource bank,
3564383,133033,Acropora pulchra,2.3,Habitat & natural process restoration,
3564383,133033,Acropora pulchra,1.1,Site/area protection,
