assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
931625,162627,Sepia apama,9.4,Marine Neritic - Subtidal Sandy,,,Suitable
931625,162627,Sepia apama,9.5,Marine Neritic - Subtidal Sandy-Mud,,,Suitable
931625,162627,Sepia apama,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,,,Suitable
931625,162627,Sepia apama,9.6,Marine Neritic - Subtidal Muddy,,,Suitable
931625,162627,Sepia apama,9.7,Marine Neritic - Macroalgal/Kelp,,,Suitable
931625,162627,Sepia apama,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
931625,162627,Sepia apama,9.9,Marine Neritic - Seagrass (Submerged),,,Suitable
931625,162627,Sepia apama,9.8,Marine Neritic - Coral Reef,,,Suitable
931625,162627,Sepia apama,9.1,Marine Neritic - Pelagic,,,Suitable
953097,162917,Opisthoteuthis mero,11.1,"Marine Deep Benthic - Continental Slope/Bathyl Zone (200-4,000m)",,,Suitable
953097,162917,Opisthoteuthis mero,11.1.1,Hard Substrate,,,Unknown
953097,162917,Opisthoteuthis mero,11.1.2,Soft Substrate,,,Suitable
999635,163337,Cirroctopus hochbergi,11.1,"Marine Deep Benthic - Continental Slope/Bathyl Zone (200-4,000m)",,,Suitable
999635,163337,Cirroctopus hochbergi,11.1.1,Hard Substrate,,,Unknown
999635,163337,Cirroctopus hochbergi,11.1.2,Soft Substrate,,,Suitable
999635,163337,Cirroctopus hochbergi,11.6,Marine Deep Benthic - Deep Sea Vents (Rifts/Seeps),,,Suitable
999635,163337,Cirroctopus hochbergi,11.5,Marine Deep Benthic - Seamount,,,Suitable
2681354,200715,Holothuria fuscogilva,9.9,Marine Neritic - Seagrass (Submerged),,,
2681354,200715,Holothuria fuscogilva,9.8.3,Foreslope (Outer Reef Slope),,,
2681354,200715,Holothuria fuscogilva,9.8.1,Outer Reef Channel,,,
2681354,200715,Holothuria fuscogilva,9.4,Marine Neritic - Subtidal Sandy,,,
3468128,132866,Montipora angulata,9.8.1,Outer Reef Channel,,,Marginal
3468128,132866,Montipora angulata,9.8.2,Back Slope,,,Suitable
3468128,132866,Montipora angulata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3468128,132866,Montipora angulata,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3468128,132866,Montipora angulata,9.8.4,Lagoon,,,Suitable
3483734,132899,Favia rosaria,9.8.2,Back Slope,,,Suitable
3483734,132899,Favia rosaria,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
