assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
931625,162627,Sepia apama,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,apama,,,,"Gray, 1849",Near Threatened,,3.1,Decreasing,Global
953097,162917,Opisthoteuthis mero,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,OPISTHOTEUTHIDAE,Opisthoteuthis,mero,,,,"O’Shea, 1999",Endangered,A2b,3.1,Decreasing,Global
999635,163337,Cirroctopus hochbergi,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,CIRROCTOPODIDAE,Cirroctopus,hochbergi,,,,"O’Shea, 1999",Endangered,A2bc; C1,3.1,Decreasing,Global
2681354,200715,Holothuria fuscogilva,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,fuscogilva,,,,"Cherbonnier, 1980",Vulnerable,A2bd,3.1,Decreasing,Global
3468128,132866,Montipora angulata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,angulata,,,,"(Lamarck, 1816)",Vulnerable,A4ce,3.1,Decreasing,Global
3483734,132899,Favia rosaria,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,rosaria,,,,"Veron, 2002",Vulnerable,A4c,3.1,Decreasing,Global
3488908,132910,Acropora divaricata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,divaricata,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3498522,132931,Acropora willisae,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,willisae,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4ce,3.1,Decreasing,Global
3503904,132944,Montipora nodosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,nodosa,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3520070,132979,Favites complanata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favites,complanata,,,,"(Ehrenberg, 1834)",Near Threatened,,3.1,Decreasing,Global
3524260,132987,Echinopora gemmacea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,gemmacea,,,,"Lamarck, 1816",Least Concern,,3.1,Decreasing,Global
3524962,132988,Acropora longicyathus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,longicyathus,,,,"(Milne Edwards &amp; Haime, 1860)",Least Concern,,3.1,Decreasing,Global
3530977,133060,Goniastrea favulus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,favulus,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3534237,133003,Leptastrea bewickensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Leptastrea,bewickensis,,,,"Veron &amp; Pichon, 1977",Near Threatened,,3.1,Decreasing,Global
3545567,133015,Montipora millepora,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,millepora,,,,"Crossland, 1952",Least Concern,,3.1,Decreasing,Global
3564383,133033,Acropora pulchra,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pulchra,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3571197,133040,Echinopora mammiformis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,mammiformis,,,,"(Nemenzo, 1959)",Near Threatened,,3.1,Decreasing,Global
3571758,133112,Acropora caroliniana,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,caroliniana,,,,"Nemenzo, 1976",Vulnerable,A4ce,3.1,Decreasing,Global
3574580,133115,Acropora retusa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,retusa,,,,"(Dana, 1846)",Vulnerable,A4ce,3.1,Decreasing,Global
3578932,133120,Acropora latistella,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,latistella,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3587170,133129,Astreopora ocellata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,ocellata,,,,"Bernard, 1896",Least Concern,,3.1,Decreasing,Global
3592271,133068,Platygyra sinensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Platygyra,sinensis,,,,"(Milne Edwards &amp; Haime, 1849)",Least Concern,,3.1,Decreasing,Global
3593444,133069,Astreopora cucullata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,cucullata,,,,"Lamberts, 1980",Vulnerable,A4ce,3.1,Decreasing,Global
3607835,133160,Acropora austera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,austera,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3614541,133174,Astreopora moretonensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,moretonensis,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4ce,3.1,Decreasing,Global
3616568,133178,Montastrea annuligera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Montastrea,annuligera,,,,"(Milne Edwards &amp; Haime, 1849)",Near Threatened,,3.1,Decreasing,Global
3618783,133182,Isopora brueggemanni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Isopora,brueggemanni,,,,"(Brook, 1893)",Vulnerable,A4ce,3.1,Decreasing,Global
3621724,133188,Echinopora hirsutissima,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,hirsutissima,,,,"Milne Edwards &amp; Haime, 1849",Least Concern,,3.1,Decreasing,Global
3624060,133193,Heliopora coerulea,ANIMALIA,CNIDARIA,HELIOPORACEA,ANTHOZOA,HELIOPORIDAE,Heliopora,coerulea,,,,Pallas 1766,Vulnerable,A4cde,3.1,Decreasing,Global
3625707,133196,Montipora incrassata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,incrassata,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3631022,133207,Acropora clathrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,clathrata,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3633217,133210,Favia speciosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,speciosa,,,,"Dana, 1846",Least Concern,,3.1,Decreasing,Global
3639848,133223,Acropora donei,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,donei,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4ce,3.1,Decreasing,Global
3646741,133238,Montipora hispida,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,hispida,,,,"(Dana, 1846)",Least Concern,,3.1,Decreasing,Global
3651115,133245,Montipora spongodes,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,spongodes,,,,"Bernard, 1897",Least Concern,,3.1,Decreasing,Global
