internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
162627,Sepia apama,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,apama,,,,,"Gray, 1849","Regional differences between male colour patterns suggest there may be distinct populations or subspecies (Norman 2003). Individuals from the east and southern coast show both genetic and morphological differences that suggest previous isolation and subsequent secondary contact to form a continuous distribution (Reid <span style=""font-style: italic;"">et al.</span> 2005).&#160; It has been suggested that the Spencer Gulf population may represent a separate species (Bronwyn Gillanders pers. comm. 2010)."
162917,Opisthoteuthis mero,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,OPISTHOTEUTHIDAE,Opisthoteuthis,mero,,,,,"O’Shea, 1999","<span style=""font-style: italic;""><br/></span>"
163337,Cirroctopus hochbergi,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,CIRROCTOPODIDAE,Cirroctopus,hochbergi,,,,,"O’Shea, 1999","This species was described as <span style=""font-style: italic;"">Cirroctopus hochbergi</span> O'Shea 1999 from off New Zealand (Type locality 39 58.9'S, 178 14.27'E, 800-1070 m). It is most similar to <span style=""font-style: italic;"">Cirroctopus mawsoni</span>,<span style=""font-style: italic;""> </span>but<span style=""font-style: italic;""> </span><em><strong></strong></em>a few characters separate it and it is 'strongly allopatric' (O'Shea 1999).<span style=""font-style: italic;""></span>"
200715,Holothuria fuscogilva,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,fuscogilva,,,,,"Cherbonnier, 1980","<p>Uthicke<em> et al.</em> (2004) by genetic analysis differentiated <em>Holothuria whitmaei, H. fuscogilva and H. nobilis</em> that were previously confused.</p>"
132866,Montipora angulata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,angulata,,,,,"(Lamarck, 1816)",
132899,Favia rosaria,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,rosaria,,,,,"Veron, 2002",
132910,Acropora divaricata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,divaricata,,,,,"(Dana, 1846)",
132931,Acropora willisae,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,willisae,,,,,"Veron &amp; Wallace, 1984",
132944,Montipora nodosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,nodosa,,,,,"(Dana, 1846)",
132979,Favites complanata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favites,complanata,,,,,"(Ehrenberg, 1834)",
132987,Echinopora gemmacea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,gemmacea,,,,,"Lamarck, 1816",
132988,Acropora longicyathus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,longicyathus,,,,,"(Milne Edwards &amp; Haime, 1860)",
133060,Goniastrea favulus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,favulus,,,,,"(Dana, 1846)",
133003,Leptastrea bewickensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Leptastrea,bewickensis,,,,,"Veron &amp; Pichon, 1977",
133015,Montipora millepora,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,millepora,,,,,"Crossland, 1952",
133033,Acropora pulchra,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pulchra,,,,,"(Brook, 1891)",
133040,Echinopora mammiformis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,mammiformis,,,,,"(Nemenzo, 1959)",
133112,Acropora caroliniana,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,caroliniana,,,,,"Nemenzo, 1976",
133115,Acropora retusa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,retusa,,,,,"(Dana, 1846)",
