,Threat,Species Count
0,fishing and harvesting aquatic resources,157
1,habitat shifting and alteration,1
2,other climate change and severe weather impacts,1
3,other ecosystem modifications,1
4,airborne pollutants,152
5,temperature extremes,152
6,storms and flooding,152
7,agricultural and forestry effluents,152
8,commercial and industrial areas,152
9,recreational activities,152
10,industrial and military effluents,152
11,invasive non native/alien species/diseases,152
12,domestic and urban waste water,152
13,housing and urban areas,152
14,tourism and recreation areas,152
15,shipping lanes,152
16,problematic native species/diseases,152
17,disease of unknown cause,1
18,logging and wood harvesting,1
19,problematic species/disease of unknown origin,1
