assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
931625,162627,Sepia apama,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
931625,162627,Sepia apama,11.1,Habitat shifting & alteration,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Future,
931625,162627,Sepia apama,11.5,Other impacts,2.1,Species mortality,,,,Unknown,Unknown,,Future,
931625,162627,Sepia apama,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Unknown,Unknown,,Ongoing,
931625,162627,Sepia apama,7.3,Other ecosystem modifications,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Future,
953097,162917,Opisthoteuthis mero,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,Minority (<50%),Very Rapid Declines,,Ongoing,
999635,163337,Cirroctopus hochbergi,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),Rapid Declines,,Ongoing,
2681354,200715,Holothuria fuscogilva,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,,
2681354,200715,Holothuria fuscogilva,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,,
3468128,132866,Montipora angulata,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3468128,132866,Montipora angulata,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
3468128,132866,Montipora angulata,5.4.6,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,8.1.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3468128,132866,Montipora angulata,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3468128,132866,Montipora angulata,4.3,Shipping lanes,1.2,Ecosystem degradation,,,,,,,Ongoing,
3468128,132866,Montipora angulata,8.2.2,Named species,2.1,Species mortality,,Acanthaster planci,,,,,Ongoing,
3468128,132866,Montipora angulata,8.2.1,Unspecified species,2.1|2.2|2.3.2,Species mortality|Species disturbance|Competition,,,,,,,Ongoing,
3483734,132899,Favia rosaria,9.5.3,Ozone,1.2,Ecosystem degradation,,,,,,,Ongoing,
3483734,132899,Favia rosaria,11.3,Temperature extremes,1.2|2.1|2.2|2.3.8,Ecosystem degradation|Species mortality|Species disturbance|Other,,,,,,,Ongoing,
3483734,132899,Favia rosaria,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,,,,Ongoing,
3483734,132899,Favia rosaria,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3483734,132899,Favia rosaria,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3483734,132899,Favia rosaria,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
