,Threat,Species Count
0,fishing and harvesting aquatic resources,355
1,domestic and urban waste water,336
2,marine and freshwater aquaculture,1
3,airborne pollutants,334
4,temperature extremes,337
5,storms and flooding,334
6,agricultural and forestry effluents,334
7,commercial and industrial areas,334
8,recreational activities,334
9,industrial and military effluents,335
10,invasive non native/alien species/diseases,334
11,housing and urban areas,335
12,tourism and recreation areas,334
13,shipping lanes,335
14,problematic native species/diseases,335
15,disease of unknown cause,2
16,logging and wood harvesting,5
17,problematic species/disease of unknown origin,1
18,other climate change and severe weather impacts,4
19,habitat shifting and alteration,2
20,other ecosystem modifications,2
