internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
180337,Actinopyga mauritiana,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,mauritiana,,,,,"(Quoy &amp; Gaimard, 1833)",<p>There are a few different morphs in the Africa and Indian Ocean region (Conand 2008) which may make correct identification of the species difficult.</p>
39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,,"Rafinesque, 1810",
60225,Isurus paucus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,paucus,,,,,"Guitart, 1966",
170314,Makaira nigricans,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ISTIOPHORIDAE,Makaira,nigricans,,,,,"Lacepède, 1802","<p>Blue Marlin (<span style=""font-style: italic;"">Makaira nigricans</span>) of the Indo-Pacific and the Atlantic are conspecific (Buonaccorsi <span style=""font-style: italic;"">et al</span>. 1999, 2001; Collette <span style=""font-style: italic;"">et al</span>. 2006). The Indo-Pacific Blue Marlin previously was known as <span style=""font-style: italic;"">Makaira mazara</span> (Jordan and Snyder).<br/></p>"
21859,Thunnus obesus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Thunnus,obesus,,,,,"(Lowe, 1839)",
3855,Carcharodon carcharias,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Carcharodon,carcharias,,,,,"(Linnaeus, 1758)",
39339,Alopias vulpinus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ALOPIIDAE,Alopias,vulpinus,,,,,"(Bonnaterre, 1788)","A study using allozymes as a genetic marker (Eitner 1995) indicated that an unrecognized fourth species of <em>Alopias</em> may exist, however this claim was based on data from a single shark specimen likely to have been <em>A. vulpinus</em>. Recent work investigating population structure of all three <em>Alopias</em> species using mitochondrial DNA control region sequences (Trejo 2005) has found no evidence indicating that a fourth species of thresher sharks exists."
39352,Galeorhinus galeus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,TRIAKIDAE,Galeorhinus,galeus,,,,,"(Linnaeus, 1758)",
41755,Physeter macrocephalus,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,PHYSETERIDAE,Physeter,macrocephalus,,,,,"Linnaeus, 1758","Although <em>Physeter catodon</em> is still occasionally used in the literature, <em>P</em>.<em> macrocephalus</em> is recommended (Rice 1989). Both names are listed on the same page of the original description by Linnaeus (1758), and priority is unclear. However, <em>P</em>. <em>macrocephalu</em>s is preferable because it is used much more frequently, and this will support nomenclatural stability."
4292,Cetorhinus maximus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,CETORHINIDAE,Cetorhinus,maximus,,,,,"(Gunnerus, 1765)",
61406,Narcine brevilabiata,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,NARCINIDAE,Narcine,brevilabiata,,,,,"Bessednov, 1966",
61743,Haliotis kamtschatkana,ANIMALIA,MOLLUSCA,VETIGASTROPODA,GASTROPODA,HALIOTIDAE,Haliotis,kamtschatkana,,,,,"Jonas, 1845",
22823,Ursus maritimus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,URSIDAE,Ursus,maritimus,,,,,"Phipps, 1774","<p>Phipps (1774) first described the Polar Bear as a distinct species and named it <em>Ursus maritimus</em>. Other names were suggested including <em>Thalassarctos, Thalarctos, and Thalatarctos. </em>Erdbrink (1953) and Thenius (1953) ultimately settled on <em>Ursus (Thalarctos) maritimus </em>because of interbreeding between Brown Bears (<em>Ursus arctos</em>) and Polar Bears in zoos. Based on the fossil record, Kurtén (1964) recommended the Phipps (1774) name <em>Ursus maritimus,</em> which was promoted by Harington (1966), Manning (1971) and Wilson (1976) and is used today (see DeMaster and Stirling 1981, Amstrup 2003, Wilson and Reeder 2005).</p>"
6494,Dermochelys coriacea,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,DERMOCHELYIDAE,Dermochelys,coriacea,,,,,"(Vandelli, 1761)",
3590,Callorhinus ursinus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,OTARIIDAE,Callorhinus,ursinus,,,,,"(Linnaeus, 1758)","The Northern Fur Seal, <em>Callorhinus ursinus</em>, (Linneaeus, 1758) is in the family Otariidae and&#160; is the only extant species within the genus <em>Callorhinus</em>. Although earlier work had suggested that more than a single species or subspecies might exist, the current belief is that there is only the one species (Rice 1998) and genetic studies suggest that they are panmictic (Dickerson <em>et al</em>. 2010). Despite the genetic history that indicates mixing, there are currently two recognized stocks of Northern Fur Seals in North America. The Eastern Pacific stock includes those Fur Seals breeding on the three primary rookeries in Alaska, the Pribilof Islands and Bogoslof Island in the Aleutian chain. The San Miguel stock includes those seals breeding on the Channel Islands and the Farallon Islands of California."
15106,Odobenus rosmarus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,ODOBENIDAE,Odobenus,rosmarus,,,,,"(Linnaeus, 1758)","The Walrus, <em>Odobenus rosmarus</em>, was in the past divided into three subspecies: the Atlantic Walrus (<em>O. r. rosmarus</em>), the Pacific Walrus (<em>O. r. divergens</em>), and the Laptev Walrus (<em>O. r. laptevi</em>) (Rice 1998). However, the status of the Laptev Walrus has always been somewhat uncertain, animals from that region are described as being intermediate in size between the Pacific and Atlantic forms, with skull morphology most similar to the Pacific subspecies (Fay 1982). Recent analyses of mitochondrial DNA and morphometric data suggest that the taxon <em>O. r. laptevi</em> should be abandoned (Lindqvist <em>et al.</em> 2009). The walruses found in the Laptev Sea are in all probability the westernmost part of the Pacific Walrus population.<br/><br/>The IUCN Pinniped Specialist Group has assessed the status of the Atlantic and Pacific Walrus subspecies separately. This assessment combines those two analyses to assess the global status of the Walrus as a species."
