internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
166184,Anguilla japonica,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,ANGUILLIDAE,Anguilla,japonica,,,,,"Temminck &amp; Schlegel, 1846","<p>Typical diagnostic features of <em>A. japonica</em> include a fleshy and smooth elongate body that is cylindrical anteriorly and laterally compressed posteriorly.&#160;The mouth corner extends to the posterior margin of the eyes with the lower jaw slightly longer than the upper. The snout is depressed and stout and&#160;the distance between dorsal fin origin and vent varies from 9.0 to 13.5 % of total body length and the head length 11.2 to 11.9 % of the body length. The length of pectoral fin, at least during the yellow eel stage, is between 2.2 and 3.7 % of head length.&#160;The dorsal and anal fins are confluent with the caudal fin. The distance between origins of dorsal and anal fins is shorter than the head length.&#160;The body is covered with rudimentary embedded scales that are arranged in small groups and placed obliquely at right angles to those of neighbouring groups.&#160;Overall, <em>A. japonica</em> is plain-coloured and neither marbled or mottled (FAO).</p>"
170161,Cheimerius matsubarai,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Cheimerius,matsubarai,,,,,"Akazaki, 1962",
170199,Acanthopagrus sivicolus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Acanthopagrus,sivicolus,,,,,"Akazaki, 1962","This may be a subpopulation of <span style=""font-style: italic;"">Acanthopagrus schlegelli</span> (Y. Iwatsuki pers. comm. 2009). Mitochondrial DNA analyses based on cytochrome b gene sequences did not distinguish individuals of <em>A. schlegelii </em>and <em>A. sivicolus</em>, reflecting either historical introgression or recent speciation and incomplete sorting of their mitochondrial lineages (Hsu <em>et al.&#160;</em>2011). Pending further taxonomic work, <em>A. sivicolus </em>is here regarded as a distinct species."
180238,Stichopus herrmanni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Stichopus,herrmanni,,,,,"Semper, 1868","This species was known as <em>Stichopus variegatus </em>(Rasolofonirina pers comm. 2010), which is now synonomized under <em>S. horrens</em>."
180257,Holothuria scabra,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,scabra,,,,,"Jaeger, 1833","<p><span style=""font-style: italic;"">Holothuria scabra</span> and <span style=""font-style: italic;"">H. scabra</span> var. <span style=""font-style: italic;"">versicolor</span> (now <span style=""font-style: italic;"">H. lessoni</span>) have recently been properly identified as distinctive species (Uthicke <span style=""font-style: italic;"">et al. </span>2005).</p>"
180265,Actinopyga miliaris,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,miliaris,,,,,"(Quoy &amp; Gaimard, 1833)",
180275,Holothuria lessoni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,lessoni,,,,,"Massin et al., 2009","<p>    </p><p>Previously known as <span style=""font-style: italic;"">Holothuria scabra</span> var. <span style=""font-style: italic;"">versicolor</span>. <br/></p><p><br/></p><p><br/></p>  <p></p>"
180424,Apostichopus japonicus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Apostichopus,japonicus,,,,,"(Selenka, 1867)","<p><span style=""font-style: italic;"">Apostichopus japonicus</span> was formerly known as <span style=""font-style: italic;"">Stichopus japonicus.</span></p>"
180481,Thelenota ananas,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Thelenota,ananas,,,,,"(Jaeger, 1833)",
193605,Takifugu chinensis,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Takifugu,chinensis,,,,,"(Abe, 1949)","Several genetic experiments have suggested that <span style=""font-style: italic;"">Takifugu chinensis</span> and <span style=""font-style: italic;"">T. rubripes</span> are very closely related and can possibly be regarded as the same species (Reza <span style=""font-style: italic;"">et</span> <span style=""font-style: italic;"">al. </span>2011).&#160;In China, <em>T. chinensis</em> is considered to be a junior synonym of <em>Takifugu pseudommus</em>. However, differences in the anal fin color of these two species makes it unlikely that they are the same species (Matsuura pers. comm. 2011).&#160;Skull structure of the two species is identical, however, and therefore further taxonomic studies are required. The economically important genus&#160;<em>Takifugu</em>&#160;has been recommended for further taxonomic studies based on morphological and molecular analyses (Yamanoue&#160;<em>et al.</em>&#160;2008). We accept the taxonomic validity of <em>T. chinensis.</em>"
