internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
180356,Holothuria platei,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,platei,,,,,"Ludwig, 1898",This species may also be known as <em>Mertensiothuria platei </em>(Deichman 1958). There have been no specimens collected after 1958. This species is in need of a taxonomic review.
180373,Isostichopus fuscus,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Isostichopus,fuscus,,,,,"(Ludwig, 1875)",This species may be the same as <em>Stichopus fuscus. </em>This species was confused with<em> I. badionotus.</em>
193751,Canthigaster cyanetron,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Canthigaster,cyanetron,,,,,"Randall &amp; Cea Egaña, 1989","The genus <span style=""font-style: italic;"">Canthigaster</span> is  hypothesized to undergo fast morphological/color differentiation and  slow mtDNA evolution (Randall <span style=""font-style: italic;"">et al</span>. 2008)."
19488,Rhincodon typus,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,RHINCODONTIDAE,Rhincodon,typus,,,,,"Smith, 1828",
91209505,Squalus acanthias,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SQUALIDAE,Squalus,acanthias,,,,,"Linnaeus, 1758","While there are reported subpopulations of <em>Squalus acanthias</em> (Linnaeus, 1758) elsewhere in the world, the North Pacific subpopulation is now considered a separate species, <em>Squalus suckleyi</em> (Girard, 1854) (see Ebert <em>et al</em>. 2010). Further taxonomic studies on this genus are required, including in relation to Mediterranean and Black Sea subpopulations. In Europe, three subpopulations are inferred to occur."
39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,,"Rafinesque, 1810",
60225,Isurus paucus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,paucus,,,,,"Guitart, 1966",
1086,Amblyrhynchus cristatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,IGUANIDAE,Amblyrhynchus,cristatus,,,,,"Bell, 1825",
11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,,"(Bonnaterre, 1788)",
11534,Lepidochelys olivacea,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELONIIDAE,Lepidochelys,olivacea,,,,,"(Eschscholtz, 1829)",
