internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
16185,Parapinnixa affinis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PINNOTHERIDAE,Parapinnixa,affinis,,,,,"Holmes, 1900",
21309,Tachypleus tridentatus,ANIMALIA,ARTHROPODA,XIPHOSURA,MEROSTOMATA,LIMULIDAE,Tachypleus,tridentatus,,,,,"(Leach, 1819)","<em>Tachypleus tridentatus</em> and <em>T. gigas</em> are sometimes the subject of misidentification. In China, three horseshoe crab nature reserves were established in Guangdong Province in 2004 for the protection of <em>T. gigas</em> (Kwan <em>et al</em>. 2016), even though <em>T. gigas </em>has not been recorded in these areas (Liao and Li 2001, Liao <em>et al</em>. 2001a).<br/><br/>In Hong Kong, the occurrence of <em>T. gigas</em>, <em>T. tridentatus </em>and <em>C. rotundicauda </em>was reported (Mikkelsen 1988), but recent population studies did not reveal any presence of <em>T. gigas </em>in Hong Kong waters (Li 2008, Shin <em>et al</em>. 2009, Morton and Lee 2010) and a recent literature review suggests previous reports of the presence of <em>T. gigas </em>in Hong Kong was a case of mistaken identity, based on the wrong labelling of photographs in a popular natural history book at the time (Laurie 2011, unpublished).<br/><br/>On 23 May 2012, five horseshoe crabs were seized at Sam Ratulangi International Airport, Manado, North Sulawesi, Indonesia under PP No. 7/1999 (Indonesia Government Regulation No. 7/1999). Although described as <em>T. gigas</em>, photographs indicate the seized animals were <em>T. tridentatus</em> (BKIPM 2012)."
166184,Anguilla japonica,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,ANGUILLIDAE,Anguilla,japonica,,,,,"Temminck &amp; Schlegel, 1846","<p>Typical diagnostic features of <em>A. japonica</em> include a fleshy and smooth elongate body that is cylindrical anteriorly and laterally compressed posteriorly.&#160;The mouth corner extends to the posterior margin of the eyes with the lower jaw slightly longer than the upper. The snout is depressed and stout and&#160;the distance between dorsal fin origin and vent varies from 9.0 to 13.5 % of total body length and the head length 11.2 to 11.9 % of the body length. The length of pectoral fin, at least during the yellow eel stage, is between 2.2 and 3.7 % of head length.&#160;The dorsal and anal fins are confluent with the caudal fin. The distance between origins of dorsal and anal fins is shorter than the head length.&#160;The body is covered with rudimentary embedded scales that are arranged in small groups and placed obliquely at right angles to those of neighbouring groups.&#160;Overall, <em>A. japonica</em> is plain-coloured and neither marbled or mottled (FAO).</p>"
170161,Cheimerius matsubarai,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Cheimerius,matsubarai,,,,,"Akazaki, 1962",
170199,Acanthopagrus sivicolus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Acanthopagrus,sivicolus,,,,,"Akazaki, 1962","This may be a subpopulation of <span style=""font-style: italic;"">Acanthopagrus schlegelli</span> (Y. Iwatsuki pers. comm. 2009). Mitochondrial DNA analyses based on cytochrome b gene sequences did not distinguish individuals of <em>A. schlegelii </em>and <em>A. sivicolus</em>, reflecting either historical introgression or recent speciation and incomplete sorting of their mitochondrial lineages (Hsu <em>et al.&#160;</em>2011). Pending further taxonomic work, <em>A. sivicolus </em>is here regarded as a distinct species."
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,OTARIIDAE,Phocarctos,hookeri,,,,,"(Gray, 1844)",<p>The taxonomy of sea lions in New Zealand (<em>Phocarctos</em>) and Australia (<em>Neophoca</em>) was confused until it was resolved in a paper by King (1960).<br/></p>
177966,Acanthurus chronixis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ACANTHURIDAE,Acanthurus,chronixis,,,,,"Randall, 1960","<span style=""font-style: italic;"">Acanthurus chronixis</span> is a close relative of <span style=""font-style: italic;"">Acanthurus pyroferus</span>, sharing the count of VIII dorsal spines and the same morphology, in particular the protruding snout (Randall 2001a).&#160; Its taxonomic status is uncertain due to limited number of specimens. There is taxonomic work underway to determine the status of this species. We accept current taxonomy that this species is valid (Eschmeyer 2011, J.E. Randall pers comm. 2011)."
188319,Neopomacentrus aquadulcis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,POMACENTRIDAE,Neopomacentrus,aquadulcis,,,,,"Jenkins &amp; Allen, 2002",
188397,Altrichthys curatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,POMACENTRIDAE,Altrichthys,curatus,,,,,"Allen, 1999",
188472,Altrichthys azurelineatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,POMACENTRIDAE,Altrichthys,azurelineatus,,,,,"(Fowler &amp; Bean, 1928)",
