assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
,,Paramyxine fernholmi,5.4,,,,,,,,,,,
,,Parapinnixa affinis,9.4,,,,,,,,,,,
953097,162917,Opisthoteuthis mero,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,Minority (<50%),Very Rapid Declines,,Ongoing,
976939,163144,Opisthoteuthis chathamensis,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),Very Rapid Declines,,Ongoing,
999635,163337,Cirroctopus hochbergi,5.4.4,Unintentional effects: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),Rapid Declines,,Ongoing,
1117791,166184,Anguilla japonica,2.4.2,Industrial aquaculture,2.3.2,Competition,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,11.5,Other impacts,1.1|2.1|2.3.7,Ecosystem conversion|Species mortality|Reduced reproductive success,,,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
1117791,166184,Anguilla japonica,8.2,Problematic native species/diseases,,,,,,Unknown,Unknown,,Future,
1117791,166184,Anguilla japonica,2.1.2,Small-holder farming,1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,7.2.10,Large dams,1.2|2.1|2.3.6,Ecosystem degradation|Species mortality|Skewed sex ratios,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
1117791,166184,Anguilla japonica,7.2.9,Small dams,1.2|2.1|2.3.6,Ecosystem degradation|Species mortality|Skewed sex ratios,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1117791,166184,Anguilla japonica,9.1.3,Type Unknown/Unrecorded,,,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,9.1.1,Sewage,,,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,9.2.3,Type Unknown/Unrecorded,,,,,,Unknown,Unknown,,Unknown,
1117791,166184,Anguilla japonica,9.3.3,Herbicides and pesticides,2.1|2.3.5,Species mortality|Inbreeding,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,1.1,Housing & urban areas,1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,3.2,Mining & quarrying,1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,1.2,Commercial & industrial areas,1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Unknown,,Ongoing,
1117791,166184,Anguilla japonica,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1|2.3.6,Species mortality|Skewed sex ratios,,,Yes,Whole (>90%),Rapid Declines,,Ongoing,
1117791,166184,Anguilla japonica,7.3,Other ecosystem modifications,,,,,,Unknown,"Slow, Significant Declines",,Ongoing,
1285017,170161,Cheimerius matsubarai,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1|2.2,Species mortality|Species disturbance,,,No,Unknown,Unknown,,Ongoing,
1292034,170199,Acanthopagrus sivicolus,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1|2.2,Species mortality|Species disturbance,,,,,,,Ongoing,
1292034,170199,Acanthopagrus sivicolus,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Future,
1292034,170199,Acanthopagrus sivicolus,1.3,Tourism & recreation areas,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
1306343,17026,Phocarctos hookeri,8.2.1,Unspecified species,2.1,Species mortality,,,,Minority (<50%),,,Ongoing,
1306343,17026,Phocarctos hookeri,8.2,Problematic native species/diseases,2.1,Species mortality,,,,,,,Ongoing,
1306343,17026,Phocarctos hookeri,5.4.4,Unintentional effects: (large scale) [harvest],1.2|2.1,Ecosystem degradation|Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1306343,17026,Phocarctos hookeri,10.2,Earthquakes/tsunamis,1.1,Ecosystem conversion,,,,Unknown,Causing/Could cause fluctuations,,Unknown,
1505213,177966,Acanthurus chronixis,5.4.1,Intentional use: (subsistence/small scale) [harvest],1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Unknown,,Ongoing,
1604460,180238,Stichopus herrmanni,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1604460,180238,Stichopus herrmanni,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1606648,180257,Holothuria scabra,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1606648,180257,Holothuria scabra,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1606648,180257,Holothuria scabra,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1607822,180265,Actinopyga miliaris,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,Minority (<50%),,,Ongoing,
1607822,180265,Actinopyga miliaris,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Unknown,,,Ongoing,
1609567,180275,Holothuria lessoni,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),,,Ongoing,
1609567,180275,Holothuria lessoni,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),,,Ongoing,
1616879,180337,Actinopyga mauritiana,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1616879,180337,Actinopyga mauritiana,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1619690,180356,Holothuria platei,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Unknown,
1621102,180368,Apostichopus parvimensis,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,9.1.1,Sewage,,,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,9.1.2,Run-off,,,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,9.1.3,Type Unknown/Unrecorded,,,,,,,,,Ongoing,
1621878,180373,Isostichopus fuscus,2.4.2,Industrial aquaculture,,,,,,,,,Ongoing,
1629389,180424,Apostichopus japonicus,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1629389,180424,Apostichopus japonicus,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1630988,180440,Holothuria whitmaei,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1630988,180440,Holothuria whitmaei,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1636021,180481,Thelenota ananas,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1636021,180481,Thelenota ananas,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
1642310,180518,Actinopyga echinites,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,
1642310,180518,Actinopyga echinites,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,
1857376,188319,Neopomacentrus aquadulcis,7.3,Other ecosystem modifications,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1857376,188319,Neopomacentrus aquadulcis,2.2.2,Agro-industry plantations,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1857376,188319,Neopomacentrus aquadulcis,3.2,Mining & quarrying,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1857376,188319,Neopomacentrus aquadulcis,2.1.2,Small-holder farming,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
1868736,188397,Altrichthys curatus,6.3,Work & other activities,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Causing/Could cause fluctuations,,Ongoing,
1868736,188397,Altrichthys curatus,11.3,Temperature extremes,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
1868736,188397,Altrichthys curatus,11.5,Other impacts,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
1868736,188397,Altrichthys curatus,9.1.1,Sewage,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
1868736,188397,Altrichthys curatus,9.1.2,Run-off,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
