internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
166184,Anguilla japonica,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,ANGUILLIDAE,Anguilla,japonica,,,,,"Temminck &amp; Schlegel, 1846","<p>Typical diagnostic features of <em>A. japonica</em> include a fleshy and smooth elongate body that is cylindrical anteriorly and laterally compressed posteriorly.&#160;The mouth corner extends to the posterior margin of the eyes with the lower jaw slightly longer than the upper. The snout is depressed and stout and&#160;the distance between dorsal fin origin and vent varies from 9.0 to 13.5 % of total body length and the head length 11.2 to 11.9 % of the body length. The length of pectoral fin, at least during the yellow eel stage, is between 2.2 and 3.7 % of head length.&#160;The dorsal and anal fins are confluent with the caudal fin. The distance between origins of dorsal and anal fins is shorter than the head length.&#160;The body is covered with rudimentary embedded scales that are arranged in small groups and placed obliquely at right angles to those of neighbouring groups.&#160;Overall, <em>A. japonica</em> is plain-coloured and neither marbled or mottled (FAO).</p>"
177966,Acanthurus chronixis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,ACANTHURIDAE,Acanthurus,chronixis,,,,,"Randall, 1960","<span style=""font-style: italic;"">Acanthurus chronixis</span> is a close relative of <span style=""font-style: italic;"">Acanthurus pyroferus</span>, sharing the count of VIII dorsal spines and the same morphology, in particular the protruding snout (Randall 2001a).&#160; Its taxonomic status is uncertain due to limited number of specimens. There is taxonomic work underway to determine the status of this species. We accept current taxonomy that this species is valid (Eschmeyer 2011, J.E. Randall pers comm. 2011)."
180220,Bohadschia maculisparsa,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,maculisparsa,,,,,"Cherbonnier &amp; Féral, 1985",
180238,Stichopus herrmanni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Stichopus,herrmanni,,,,,"Semper, 1868","This species was known as <em>Stichopus variegatus </em>(Rasolofonirina pers comm. 2010), which is now synonomized under <em>S. horrens</em>."
180257,Holothuria scabra,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,scabra,,,,,"Jaeger, 1833","<p><span style=""font-style: italic;"">Holothuria scabra</span> and <span style=""font-style: italic;"">H. scabra</span> var. <span style=""font-style: italic;"">versicolor</span> (now <span style=""font-style: italic;"">H. lessoni</span>) have recently been properly identified as distinctive species (Uthicke <span style=""font-style: italic;"">et al. </span>2005).</p>"
180265,Actinopyga miliaris,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,miliaris,,,,,"(Quoy &amp; Gaimard, 1833)",
180275,Holothuria lessoni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,lessoni,,,,,"Massin et al., 2009","<p>    </p><p>Previously known as <span style=""font-style: italic;"">Holothuria scabra</span> var. <span style=""font-style: italic;"">versicolor</span>. <br/></p><p><br/></p><p><br/></p>  <p></p>"
180337,Actinopyga mauritiana,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Actinopyga,mauritiana,,,,,"(Quoy &amp; Gaimard, 1833)",<p>There are a few different morphs in the Africa and Indian Ocean region (Conand 2008) which may make correct identification of the species difficult.</p>
180440,Holothuria whitmaei,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,whitmaei,,,,,"Bell, 1887","Uthicke <span style=""font-style: italic;"">et al.</span> (2004), by genetic analysis, differentiated <span style=""font-style: italic;"">H. whitmaei</span>, <span style=""font-style: italic;"">H. fuscogilva</span> and <span style=""font-style: italic;"">H. nobilis</span>, which were previously confused."
180481,Thelenota ananas,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,STICHOPODIDAE,Thelenota,ananas,,,,,"(Jaeger, 1833)",
